PMS,Process Name,Sub Process Name,Target,Daily Work Hours,Hourly Target
Advanced MD,Denial Management,Denial/Aging,65,8,8
Advanced MD,Denial Management,Patient Statement/Inbox,65,8,8
Advanced MD,Payment Posting,ERA,850,8,106
Advanced MD,Payment Posting,Manual EOB,850,8,106
Advanced MD,Quality Team Production,Process Audit_Denial & Aging,55,8,7
Advanced MD,Quality Team Production,Process Audit_Payment Posting,650,8,81
Advanced MD,Quality Team Production,Process Audit_SB,120,8,15
Advanced MD,Quality Team Production,Process Audit_Unposted Portal Validation,350,8,44
Advanced MD,Quality Team Production,Transcation Audit_Aging/Denial Management,55,8,7
Advanced MD,Quality Team Production,Transcation Audit_Payment Posting,650,8,81
Advanced MD,Quality Team Production,Transcation Audit_SB,120,8,15
Advanced MD,SB,Charge Entry,100,8,13
Advanced MD,SB,Corrected claim submission,120,8,15
Advanced MD,SB,Emails,100,8,13
Advanced MD,SB,Exclusion & Unbilled,100,8,13
Advanced MD,SB,Pending list Worked,100,8,13
Advanced MD,SB,Quest Lab Weekly Tally,100,8,13
All,Quality Team Production,Process Audit_Denial & Aging,40,8,5
All,Quality Team Production,Transcation Audit_AR Calling/Analysis,40,8,5
Cerner,AR Calling,AR calling,25,8,3
Cerner,Denial Management,PSMG Old AR,30,8,4
Cerner,Denial Management,SCMG Denials & Aging,50,8,6
Cerner,Denial Management,To prints audited,26,8,3
Cerner,Extraction,SCMG Aging Extraction,60,8,8
Cerner,Extraction,SCMG Denials & Aging,60,8,8
Cerner,Payment Posting,Collection,350,8,44
Cerner,Payment Posting,Correspondence,350,8,44
Cerner,Payment Posting,EOB/GW/ZP,900,8,113
Cerner,Payment Posting,ERA Posting,900,8,113
Cerner,Payment Posting,Extraction,900,8,113
Cerner,Payment Posting,Failed Edits,350,8,44
Cerner,Payment Posting,IDAM Calls/My Bills/IZ Bills,30,8,4
Cerner,Payment Posting,Instamed/Unapplied,350,8,44
Cerner,Payment Posting,Insurance Credit,30,8,4
Cerner,Payment Posting,Internal Audit,350,8,44
Cerner,Payment Posting,Patient Credit,350,8,44
Cerner,Quality Team Production,Process Audit_Payment Posting,25,8,3
Cerner,Quality Team Production,Training_Payment Posting,25,8,3
Cerner,Quality Team Production,Transcation Audit_Aging/Denial Management,55,8,7
Cerner,Quality Team Production,Transcation Audit_Correspondence,55,8,7
Cerner,Quality Team Production,Transcation Audit_Payment Posting,25,8,3
Cerner,SB,APCM,25,8,3
Cerner,SB,Appointments Error,25,8,3
Cerner,SB,Charge Audit,60,8,8
Cerner,SB,Charge Entry,200,8,25
Cerner,SB,Charge Entry Manual,25,8,3
Cerner,SB,Charge Entry WoundDoc,25,8,3
Cerner,SB,Collection,34,8,4
Cerner,SB,Credit,25,8,3
Cerner,SB,Demo,25,8,3
Cerner,SB,Eligibility,200,8,25
Cerner,SB,Error Reviewed,25,8,3
Cerner,SB,Failed Edits,25,8,3
Cerner,SB,Hold Reviewedand released,200,8,25
Cerner,SB,IDAM PtCall Review,25,8,3
Cerner,SB,IR Demo & Eligibility,25,8,3
Cerner,SB,Misc,25,8,3
Cerner,SB,RC Text,25,8,3
Cerner,SB,Rejection,70,8,9
Cerner,SB,Revspring Updated,25,8,3
Cerner,SB,Selfpay Adjustment Taken,25,8,3
Cerner,SB,Statement,250,8,31
Cerner ,Quality Team Production,Process Audit_Payment Posting,800,8,100
Cerner ,Quality Team Production,Process Audit_Pending Charge/Rejection Validation,120,8,15
Cerner ,Quality Team Production,Process Audit_SB,120,8,15
Cerner ,Quality Team Production,Transcation Audit_Aging/Denial Management,55,8,7
Cerner ,Quality Team Production,Transcation Audit_Correspondence,55,8,7
Cerner ,Quality Team Production,Transcation Audit_Payment Posting,800,8,100
Cerner ,Quality Team Production,Transcation Audit_SB,120,8,15
ECW,AR Calling,AR calling,25,8,3
ECW,AR Calling,Denial,30,8,4
ECW,Denial Management,Aging,40,8,5
ECW,Denial Management,Denial,1600,8,200
ECW,Others,Collection and statement,100,8,13
ECW,Payment Posting,ATHENA,750,8,94
ECW,Payment Posting,CCM Adjustments,750,8,94
ECW,Payment Posting,Clearing house Rejection,750,8,94
ECW,Payment Posting,Credit balance,750,8,94
ECW,Payment Posting,Credit card charge,188,8,24
ECW,Payment Posting,EOB,750,8,94
ECW,Payment Posting,ERA,750,8,94
ECW,Payment Posting,Lab review adjustments,750,8,94
ECW,Payment Posting,Manual batch audit,750,8,94
ECW,Payment Posting,Medicaid submission,750,8,94
ECW,Payment Posting,Patient portal ,750,8,94
ECW,Payment Posting,Portal Downloads,750,8,94
ECW,Payment Posting,Posting review,750,8,94
ECW,Payment Posting,Process audit correction,750,8,94
ECW,Payment Posting,Transition process,750,8,94
ECW,Payment Posting,Unposted patient payment,750,8,94
ECW,Quality Team Production,Process Audit_Denial & Aging,42,8,5
ECW,Quality Team Production,Process Audit_Payment Posting,650,8,81
ECW,Quality Team Production,Process Audit_Pending Charge/Rejection Validation,120,8,15
ECW,Quality Team Production,Process Audit_SB,120,8,15
ECW,Quality Team Production,Training_Payment Posting,25,8,3
ECW,Quality Team Production,Training_SB,120,8,15
ECW,Quality Team Production,Transcation Audit_Aging/Denial Management,42,8,5
ECW,Quality Team Production,Transcation Audit_Payment Posting,650,8,81
ECW,Quality Team Production,Transcation Audit_SB,120,8,15
ECW,SB,Charge Entry,150,8,19
ECW ,Quality Team Production,Process Audit_Credit Balance validation,200,8,25
ECW ,Quality Team Production,Process Audit_Payment Posting,650,8,81
ECW ,Quality Team Production,Transcation Audit_Aging/Denial Management,42,8,5
ECW ,Quality Team Production,Transcation Audit_Payment Posting,650,8,81
ECW & Experity,Payment Posting,Clearing house Rejection,750,8,94
ECW & Experity,Payment Posting,Credit balance,750,8,94
ECW & Experity,Payment Posting,Credit card charge,750,8,94
ECW & Experity,Payment Posting,EOB,750,8,94
ECW & Experity,Payment Posting,ERA,750,8,94
ECW & Experity,Payment Posting,Lab review adjustments,750,8,94
ECW & Experity,Payment Posting,MEDS-RAT COMBO,750,8,94
ECW & Experity,Payment Posting,Manual batch audit,750,8,94
ECW & Experity,Payment Posting,Medicaid submission,750,8,94
ECW & Experity,Payment Posting,Meds Contract report,750,8,94
ECW & Experity,Payment Posting,Month end collection,750,8,94
ECW & Experity,Payment Posting,Patient portal ,750,8,94
ECW & Experity,Payment Posting,Portal Downloads,750,8,94
ECW & Experity,Payment Posting,Posting review,750,8,94
ECW & Experity,Payment Posting,Transition process,750,8,94
ECW & Experity,Payment Posting,Unposted patient payment,750,8,94
EXPERITY,AR Calling,AR calling,25,8,3
EXPERITY,Denial Management,AGING,50,8,6
EXPERITY,Denial Management,Aging,40,8,5
EXPERITY,Denial Management,Denial,50,8,6
EXPERITY,Denial Management,Emails,50,8,6
EXPERITY,Denial Management,Pt IDAM Call,50,8,6
EXPERITY,Denial Management,UHC TRACKIT,50,8,6
EXPERITY,Denial Management,UHC TrackIT,50,8,6
EXPERITY,Denial Management,Worker's Comp,50,8,6
EXPERITY,Extraction,Extraction,150,8,19
EXPERITY,Extraction,Mail,60,8,8
EXPERITY,Payment Posting,Credit Balance,300,8,38
EXPERITY,Payment Posting,Credit balance,300,8,38
EXPERITY,Payment Posting,EOB Posting,350,8,44
EXPERITY,Payment Posting,ERA,850,8,106
EXPERITY,Payment Posting,ERA Posting,350,8,44
EXPERITY,Payment Posting,Manual EOB,350,8,44
EXPERITY,Payment Posting,Payment Reconcilation Clean Up,350,8,44
EXPERITY,Payment Posting,Posting Assistance Account,350,8,44
EXPERITY,Quality Team Production,Process Audit_Denial & Aging,42,8,5
EXPERITY,Quality Team Production,Process Audit_Payment Posting,650,8,81
EXPERITY,Quality Team Production,Process Audit_Pending Charge/Rejection Validation,120,8,15
EXPERITY,Quality Team Production,Process Audit_SB,120,8,15
EXPERITY,Quality Team Production,Transcation Audit_Aging/Denial Management,42,8,5
EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,650,8,81
EXPERITY,Quality Team Production,Transcation Audit_SB,120,8,15
EXPERITY,SB,Charge Audit,120,8,15
EXPERITY,SB,Charge Entry,120,8,15
EXPERITY,SB,Charge Pending claims Reviewed,120,8,15
EXPERITY,SB,Corrected claim submission,120,8,15
EXPERITY,SB,Eligibility Verified,120,8,15
EXPERITY,SB,Emails,120,8,15
EXPERITY,SB,Idam Patient Call,120,8,15
EXPERITY,SB,Internal messages,120,8,15
EXPERITY,SB,Pending list Worked,120,8,15
EXPERITY,SB,REJECTION,50,8,6
EXPERITY,SB,SJC AUDIT,120,8,15
EXPERITY,SB,WC Claims Worked,120,8,15
EXPERITY,SB,Waystar Attachment claims,120,8,15
EXPERITY,SB,Waystar Tally Verified,120,8,15
GMED,AR Calling,AR calling,25,8,3
GMED,Denial Management,Denial,40,8,5
GMED,Payment Posting,Copay Post,1600,8,200
GMED,Payment Posting,ERA Import,1600,8,200
GMED,Payment Posting,ERA Reconciliation,1600,8,200
GMED,Quality Team Production,Transcation Audit_Aging/Denial Management,42,8,5
GMED,Quality Team Production,Transcation Audit_SB,120,8,15
GMED,SB,Charge Entry,120,8,15
GMED,SB,Demographics Entry,120,8,15
GMED,SB,Rejection,40,8,5
Iclaim,AR Calling,AR calling,25,8,3
Iclaim,Denial Management,Denial,50,8,6
Iclaim,Extraction,Analyst,60,8,8
Iclaim,Extraction,Extraction,150,8,19
Iclaim,Extraction,MISC,150,8,19
Iclaim,Extraction,Mail,60,8,8
Iclaim,Extraction,Mail Work,150,8,19
Iclaim,Payment Posting, CREDITBALANCE,64,8,8
Iclaim,Payment Posting,COLLECTIONAGENCYBATCHES ,64,8,8
Iclaim,Payment Posting,EOBPosting,400,8,50
Iclaim,Payment Posting,ERA Posting,850,8,106
Iclaim,Payment Posting,ERA Posting,850,8,106
Iclaim,Payment Posting,Emails,850,8,106
Iclaim,Payment Posting,Idam_PatientCall,850,8,106
Iclaim,Payment Posting,MCC _EOM REPORT,64,8,8
Iclaim,Payment Posting,"MISC-Email's, Idam_Patient_Call , Collection_Report",64,8,8
Iclaim,Payment Posting,PATIENTAGING,64,8,8
Iclaim,Payment Posting,PRECOLLECTION,64,8,8
Iclaim,Payment Posting,PUC_ADDRESSCHANGE,64,8,8
Iclaim,Payment Posting,Portaldownload_Tally,850,8,106
Iclaim,Payment Posting,RETURN_TO_SENDER & UNDELIVERD_STMT_WORK,64,8,8
Iclaim,Quality Team Production,Process Audit_Denial & Aging,55,8,7
Iclaim,Quality Team Production,Process Audit_Payment Posting,650,8,81
Iclaim,Quality Team Production,Process Audit_SB,120,8,15
Iclaim,Quality Team Production,Transcation Audit_Aging/Denial Management,55,8,7
Iclaim,Quality Team Production,Transcation Audit_Payment Posting,650,8,81
Iclaim,Quality Team Production,Transcation Audit_SB,120,8,15
Iclaim,SB,Audit - Charge Entry,120,8,15
Iclaim,SB,CALL PT,120,8,15
Iclaim,SB,Call PT,120,8,15
Iclaim,SB,Charge Entry,120,8,15
Iclaim,SB,Claim submission(Billing),120,8,15
Iclaim,SB,Copay Batch,120,8,15
Iclaim,SB,Demo Entry (Including EV),120,8,15
Iclaim,SB,Download,120,8,15
Iclaim,SB,HCFA - To print,120,8,15
Iclaim,SB,KI Extract,120,8,15
Iclaim,SB,No show,120,8,15
Iclaim,SB,Pending List,120,8,15
Iclaim,SB,Prescrub,120,8,15
Iclaim,SB,Rejections,120,8,15
Iclaim,SB,SWID Master Excel Update,120,8,15
MD LAND,AR Calling,AR calling,25,8,3
MD LAND,Extraction,Extraction,150,8,19
MD LAND,Extraction,Mail,150,8,19
MD LAND,Payment Posting,MDLand_Audit,850,8,106
MD LAND,Payment Posting,MDLand_EOBPosting,400,8,50
MD LAND,SB,Charge Entry,120,8,15
MD LAND,SB,Demo Entry (Including EV),120,8,15
Medinfomatrix,AR Calling,AR calling,25,8,3
Medinfomatrix,Denial Management,Denial,40,8,5
Medinfomatrix,Payment Posting,Medinfomatrix(SCMI)_EOBPosting,400,8,50
Medinfomatrix,Payment Posting,Medinfomatrix(SCMI)_ERA posting,400,8,50
Medinfomatrix,Quality Team Production,Transcation Audit_Aging/Denial Management,42,8,5
Medinfomatrix,Quality Team Production,Transcation Audit_Payment Posting,650,8,81
iclaim,Iclaim EOB,EOB Posting,400,8,50
iclaim,Iclaim EOB,ERA Posting,850,8,106
