EmpID,PMS,Process Name,Sub Process Name,Date,Target,Achieved
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,4/7/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,4/14/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,4/17/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,4/20/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,4/21/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,4/29/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,4/30/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,5/1/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,5/4/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,5/28/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,5/29/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,6/1/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,6/2/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Process Audit_Payment Posting,6/3/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/1/2026,650,416
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/2/2026,650,900
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/6/2026,650,747
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/8/2026,650,585
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/10/2026,650,674
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/13/2026,650,348
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/15/2026,650,533
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/16/2026,650,264
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/22/2026,650,410
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/25/2026,650,319
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/27/2026,650,562
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,4/28/2026,650,525
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/5/2026,650,650
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/7/2026,650,404
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/8/2026,650,541
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/11/2026,650,857
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/12/2026,650,313
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/13/2026,650,352
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/14/2026,650,347
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/15/2026,650,639
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/18/2026,650,674
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/19/2026,650,350
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/20/2026,650,327
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/21/2026,650,520
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/22/2026,650,502
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/26/2026,650,546
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,5/27/2026,650,353
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,6/5/2026,650,350
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,6/8/2026,650,330
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,6/9/2026,650,326
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,6/10/2026,650,485
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,6/11/2026,650,470
RMCB 1007,EXPERITY,Quality Team Production,Transcation Audit_Payment Posting,6/12/2026,650,866
RMCB 1010,Iclaim,SB,Charge Entry,4/1/2026,120,105
RMCB 1010,Iclaim,SB,Charge Entry,4/2/2026,120,109
RMCB 1010,Iclaim,SB,Charge Entry,4/3/2026,120,105
RMCB 1010,Iclaim,SB,Charge Entry,4/6/2026,120,91
RMCB 1010,Iclaim,SB,Charge Entry,4/7/2026,120,113
RMCB 1010,Iclaim,SB,Charge Entry,4/8/2026,120,95
RMCB 1010,Iclaim,SB,Charge Entry,4/9/2026,120,129
RMCB 1010,Iclaim,SB,Charge Entry,4/10/2026,120,113
RMCB 1010,Iclaim,SB,Charge Entry,4/13/2026,120,94
RMCB 1010,Iclaim,SB,Charge Entry,4/14/2026,120,104
RMCB 1010,Iclaim,SB,Charge Entry,4/15/2026,120,105
RMCB 1010,Iclaim,SB,Charge Entry,4/16/2026,120,100
RMCB 1010,Iclaim,SB,Charge Entry,4/17/2026,120,90
RMCB 1010,Iclaim,SB,Charge Entry,4/20/2026,120,100
RMCB 1010,Iclaim,SB,Charge Entry,4/21/2026,120,120
RMCB 1010,Iclaim,SB,Charge Entry,4/22/2026,120,110
RMCB 1010,Iclaim,SB,Charge Entry,4/24/2026,120,98
RMCB 1010,Iclaim,SB,Charge Entry,4/25/2026,120,0
RMCB 1010,Iclaim,SB,Charge Entry,4/27/2026,120,100
RMCB 1010,Iclaim,SB,Charge Entry,4/28/2026,120,110
RMCB 1010,Iclaim,SB,Charge Entry,4/29/2026,120,120
RMCB 1010,Iclaim,SB,Charge Entry,4/30/2026,120,122
RMCB 1010,Iclaim,SB,Charge Entry,5/1/2026,120,110
RMCB 1010,Iclaim,SB,Charge Entry,5/2/2026,120,0
